year,lambda_pct,cons_gain_pct
1950,2.132194,0.000000
1951,2.188461,-0.022678
1952,2.246906,-0.042502
1953,2.307513,-0.059677
1954,2.370269,-0.074380
1955,2.435168,-0.086762
1956,2.502205,-0.096945
1957,2.571382,-0.105028
1958,2.642699,-0.111084
1959,2.716163,-0.115162
1960,2.791779,-0.117285
1961,2.869554,-0.117452
1962,2.949497,-0.115638
1963,3.031612,-0.111790
1964,3.115906,-0.105830
1965,3.202383,-0.097652
1966,3.291043,-0.087125
1967,3.381882,-0.074086
1968,3.474893,-0.058347
1969,3.570063,-0.039691
1970,3.667373,-0.017874
1971,3.766794,0.007375
1972,3.868291,0.036350
1973,3.971819,0.069366
1974,4.077324,0.106753
1975,4.184739,0.148853
1976,4.293986,0.196011
1977,4.404975,0.248565
1978,4.517605,0.306841
1979,4.631761,0.371136
1980,4.747317,0.441711
1981,4.864136,0.518778
1982,4.982072,0.602490
1983,5.100968,0.692933
1984,5.220661,0.790124
1985,5.340984,0.894010
1986,5.461766,1.004480
1987,5.582834,1.121370
1988,5.704014,1.244489
1989,5.825134,1.373633
1990,5.946021,1.508610
1991,6.066506,1.649253
1992,6.186416,1.795438
1993,6.305580,1.947080
1994,6.423823,2.104132
1995,6.540966,2.266573
1996,6.656828,2.434389
1997,6.771222,2.607551
1998,6.883958,2.785997
1999,6.994840,2.969611
2000,7.103674,3.158211
2001,7.210263,3.351537
2002,7.314415,3.549253
2003,7.415940,3.750943
2004,7.514656,3.956117
2005,7.610390,4.164224
2006,7.702981,4.374663
2007,7.792280,4.586791
2008,7.878152,4.799944
2009,7.960477,5.013444
2010,8.039152,5.226616
2011,8.114089,5.438799
2012,8.185219,5.649355
2013,8.252485,5.857678
